File,Result,
../../../../myLGfiles/36_em_36.lg, Correct,
../../../../myLGfiles/36_em_37.lg, Correct,
../../../../myLGfiles/36_em_38.lg, Correct,
../../../../myLGfiles/36_em_39.lg, Correct,
../../../../myLGfiles/36_em_40.lg, Correct,
../../../../myLGfiles/36_em_41.lg, Correct,
../../../../myLGfiles/36_em_42.lg, Correct,
../../../../myLGfiles/36_em_43.lg, Correct,
../../../../myLGfiles/36_em_44.lg, Correct,
../../../../myLGfiles/36_em_45.lg, Correct,
../../../../myLGfiles/36_em_46.lg, Correct,
../../../../myLGfiles/36_em_47.lg, Correct,
../../../../myLGfiles/36_em_48.lg, Correct,
../../../../myLGfiles/36_em_49.lg, Correct,
../../../../myLGfiles/37_em_0.lg, Correct,
../../../../myLGfiles/37_em_1.lg, Correct,
../../../../myLGfiles/37_em_10.lg, Correct,
../../../../myLGfiles/37_em_11.lg, Correct,
../../../../myLGfiles/37_em_12.lg, Correct,
../../../../myLGfiles/37_em_13.lg, Correct,
../../../../myLGfiles/37_em_14.lg, Correct,
../../../../myLGfiles/37_em_15.lg, Correct,
../../../../myLGfiles/37_em_16.lg, Correct,
../../../../myLGfiles/37_em_17.lg, Correct,
../../../../myLGfiles/37_em_18.lg, Correct,
../../../../myLGfiles/37_em_19.lg, Correct,
../../../../myLGfiles/37_em_2.lg, Correct,
../../../../myLGfiles/37_em_20.lg, Correct,
../../../../myLGfiles/37_em_21.lg, Correct,
../../../../myLGfiles/37_em_22.lg, Correct,
../../../../myLGfiles/37_em_23.lg, Correct,
../../../../myLGfiles/37_em_24.lg, Correct,
../../../../myLGfiles/37_em_25.lg, Correct,
../../../../myLGfiles/37_em_26.lg, Correct,
../../../../myLGfiles/37_em_27.lg, Correct,
../../../../myLGfiles/37_em_28.lg, Correct,
../../../../myLGfiles/37_em_29.lg, Correct,
../../../../myLGfiles/37_em_3.lg, Correct,
../../../../myLGfiles/37_em_30.lg, Correct,
../../../../myLGfiles/37_em_31.lg, Correct,
../../../../myLGfiles/37_em_32.lg, Correct,
../../../../myLGfiles/37_em_4.lg, Correct,
../../../../myLGfiles/37_em_5.lg, Correct,
../../../../myLGfiles/37_em_6.lg, Correct,
../../../../myLGfiles/37_em_7.lg, Correct,
../../../../myLGfiles/37_em_8.lg, Correct,
../../../../myLGfiles/37_em_9.lg, Correct,
../../../../myLGfiles/500_em_108.lg, Correct,
../../../../myLGfiles/500_em_109.lg, Correct,
../../../../myLGfiles/500_em_110.lg, Correct,
../../../../myLGfiles/501_em_0.lg, Correct,
../../../../myLGfiles/501_em_1.lg, Correct,
../../../../myLGfiles/501_em_10.lg, Correct,
../../../../myLGfiles/501_em_11.lg, Correct,
../../../../myLGfiles/501_em_12.lg, Correct,
../../../../myLGfiles/501_em_13.lg, Correct,
../../../../myLGfiles/501_em_14.lg, Correct,
../../../../myLGfiles/501_em_15.lg, Correct,
../../../../myLGfiles/501_em_16.lg, Correct,
../../../../myLGfiles/501_em_17.lg, Correct,
../../../../myLGfiles/501_em_18.lg, Correct,
../../../../myLGfiles/501_em_19.lg, Correct,
../../../../myLGfiles/501_em_2.lg, Correct,
../../../../myLGfiles/501_em_20.lg, Correct,
../../../../myLGfiles/501_em_21.lg, Correct,
../../../../myLGfiles/501_em_22.lg, Correct,
../../../../myLGfiles/501_em_23.lg, Correct,
../../../../myLGfiles/501_em_24.lg, Correct,
../../../../myLGfiles/501_em_3.lg, Correct,
../../../../myLGfiles/501_em_4.lg, Correct,
../../../../myLGfiles/501_em_5.lg, Correct,
../../../../myLGfiles/501_em_6.lg, Correct,
../../../../myLGfiles/501_em_7.lg, Correct,
../../../../myLGfiles/501_em_8.lg, Correct,
../../../../myLGfiles/501_em_9.lg, Correct,
../../../../myLGfiles/502_em_0.lg, Correct,
../../../../myLGfiles/502_em_1.lg, Correct,
../../../../myLGfiles/502_em_10.lg, Correct,
../../../../myLGfiles/502_em_11.lg, Correct,
../../../../myLGfiles/502_em_12.lg, Correct,
../../../../myLGfiles/502_em_13.lg, Correct,
